"difference","regional","kpas"
22,FALSE,228270
13,FALSE,460360
0,TRUE,2660320
1,FALSE,6061637
25,FALSE,217376
26,FALSE,216391
21,FALSE,242828
5,FALSE,1413705
27,FALSE,227059
3,TRUE,353759
8,FALSE,824963
6,TRUE,188204
2,TRUE,484220
16,FALSE,355062
7,TRUE,171915
40,FALSE,25366
44,FALSE,47300
20,FALSE,257635
23,FALSE,228078
15,FALSE,378048
36,FALSE,29893
28,FALSE,266688
4,FALSE,1817124
30,FALSE,51445
9,TRUE,163034
24,FALSE,224108
4,TRUE,276975
9,FALSE,755266
10,FALSE,632170
12,FALSE,502898
32,FALSE,42415
34,FALSE,33655
18,FALSE,314983
42,FALSE,23001
2,FALSE,2984872
29,FALSE,555434
6,FALSE,1181498
8,TRUE,150570
7,FALSE,997281
41,FALSE,23773
38,FALSE,27532
3,FALSE,2261338
43,FALSE,25341
39,FALSE,26821
11,FALSE,559725
5,TRUE,209845
19,FALSE,303165
1,TRUE,941723
37,FALSE,28354
31,FALSE,45894
35,FALSE,31641
17,FALSE,336345
14,FALSE,421652
0,FALSE,7687639
33,FALSE,37553
