"name.x","name.y","kpas"
"Київ-Пасажирський","Львів",546334
"Київ-Пасажирський","Харків-Пасажирський",541294
"Київ-Пасажирський","Вінниця",496112
"Київ-Пасажирський","Дніпропетровськ-Головний",437722
"Київ-Пасажирський","Одеса-Головна",328109
"Київ-Пасажирський","Івано-Франківськ",327219
"Київ-Пасажирський","Запоріжжя 1",289984
"Київ-Пасажирський","Сімферополь-Пасажирський",243656
"Київ-Пасажирський","Херсон",233180
"Київ-Пасажирський","Конотоп",206445
"Київ-Пасажирський","Хмельницький",176776
"Київ-Пасажирський","Донецьк",165064
"Київ-Пасажирський","Миколаїв-Пасажирський",159779
"Київ-Пасажирський","Кривий Ріг-Головний",152365
"Київ-Пасажирський","Мукачеве",141272
"Київ-Пасажирський","Тернопіль",136085
"Київ-Пасажирський","Ніжин",132581
"Київ-Пасажирський","Суми",115967
"Київ-Пасажирський","Чернівці",115444
"Київ-Пасажирський","Жмеринка",113083
"Київ-Пасажирський","Кам`янець-Подільський",112631
"Київ-Пасажирський","Луганськ",112516
"Київ-Пасажирський","Козятин-1",110260
"Київ-Пасажирський","Шостка",102814
"Київ-Пасажирський","Ужгород",98033
"Київ-Пасажирський","Трускавець",95037
"Київ-Пасажирський","Бахмач-Пасажирський",90287
"Київ-Пасажирський","Ковель",83668
"Київ-Пасажирський","Полтава Київська",77116
"Київ-Пасажирський","Костянтинівка",76368
"Київ-Пасажирський","Мелітополь",73153
"Київ-Пасажирський","Шепетівка",65193
"Київ-Пасажирський","Маріуполь",64453
"Київ-Пасажирський","Севастополь",61303
"Київ-Пасажирський","Стрий",59945
"Київ-Пасажирський","Луцьк",57276
"Київ-Пасажирський","Ім.Т.Шевченка",55550
"Київ-Пасажирський","Олександрія",54093
"Київ-Пасажирський","Свалява",49081
"Київ-Пасажирський","Миргород",48488
"Київ-Пасажирський","Дніпродзержинськ-Пасажирський",47101
"Київ-Пасажирський","Попільня",45689
"Київ-Пасажирський","Кролевець",43531
"Київ-Пасажирський","Лубни",39461
"Київ-Пасажирський","Рівне",38408
"Київ-Пасажирський","Бердичів",36342
"Київ-Пасажирський","Краматорськ",35854
"Київ-Пасажирський","Слов'янськ",35526
"Київ-Пасажирський","Самбір",35403
"Київ-Пасажирський","Кременчук",35237
"Київ-Пасажирський","Калинівка 1",35040
"Київ-Пасажирський","Славута 1",34846
"Київ-Пасажирський","Путивль",32713
"Київ-Пасажирський","Джанкой",31093
"Київ-Пасажирський","Воловець",31089
"Київ-Пасажирський","Бердянськ",30017
"Київ-Пасажирський","Ходорів",29137
"Київ-Пасажирський","Коростень",27794
"Київ-Пасажирський","Терещенська",27602
"Київ-Пасажирський","Фастів 1",27589
"Київ-Пасажирський","Рокувата",26273
"Київ-Пасажирський","Знам'янка-Пасажирська",26259
"Київ-Пасажирський","Вапнярка",25833
"Київ-Пасажирський","Новоград-Волинський 1",23606
"Київ-Пасажирський","П'ятихатки",22992
"Київ-Пасажирський","Кривин",21860
"Київ-Пасажирський","Кіровоград",21840
"Київ-Пасажирський","Чернігів",21525
"Київ-Пасажирський","Лисичанськ",19756
"Київ-Пасажирський","Комунарськ",19593
"Київ-Пасажирський","Волноваха",19566
"Київ-Пасажирський","Плиски",18059
"Київ-Пасажирський","Хмільник",17874
"Київ-Пасажирський","Черкаси",17382
"Київ-Пасажирський","Дрогобич",17045
"Київ-Пасажирський","Гречани",16506
"Київ-Пасажирський","Красноармійськ",15819
"Київ-Пасажирський","Новоолексіївка",15714
"Київ-Пасажирський","Гребінка",15177
"Київ-Пасажирський","Котовськ",14972
"Київ-Пасажирський","Могилів-Подільський",14684
"Київ-Пасажирський","Дебальцеве",14243
"Київ-Пасажирський","Чорнорудка",14135
"Київ-Пасажирський","Лозова",13670
"Київ-Пасажирський","Славське",13085
"Київ-Пасажирський","Полонне",12902
"Київ-Пасажирський","Червоноград",12418
"Київ-Пасажирський","Рубіжне",12049
"Київ-Пасажирський","Здолбунів",12005
"Київ-Пасажирський","Генічеськ",11921
"Київ-Пасажирський","Гнівань",11661
"Київ-Пасажирський","Броди",10593
"Київ-Пасажирський","Бобровиця",10383
"Київ-Пасажирський","Брівки",10275
"Київ-Пасажирський","Нікополь",10172
"Київ-Пасажирський","Микитівка",10085
"Київ-Пасажирський","Коломия",10080
"Київ-Пасажирський","Долинська",9928
"Київ-Пасажирський","Чоп",9783
"Київ-Пасажирський","Дружківка",9702
"Київ-Пасажирський","Апостолове",9682
"Київ-Пасажирський","Чуднів-Волинський",9662
"Київ-Пасажирський","Чортків",9154
"Київ-Пасажирський","Сколе",8753
"Київ-Пасажирський","Бахмач-Київський",8692
"Київ-Пасажирський","Печанівка",8637
"Київ-Пасажирський","Ворожба",8575
"Київ-Пасажирський","Деражня",8396
"Київ-Пасажирський","Дунаївці",8191
"Київ-Пасажирський","Полтава-Південна",8176
"Київ-Пасажирський","Володимир-Волинський",8071
"Київ-Пасажирський","Носівка",7744
"Київ-Пасажирський","Дубно",7744
"Київ-Пасажирський","Батьово",7732
"Київ-Пасажирський","Карпати",7606
"Київ-Пасажирський","Рафалівка",7302
"Київ-Пасажирський","Хутір-Михайлівський",7271
"Київ-Пасажирський","Корсунь",6934
"Київ-Пасажирський","Кожанка",6791
"Київ-Пасажирський","Яремче",6675
"Київ-Пасажирський","Сарни",6630
"Київ-Пасажирський","Синельникове-1",6387
"Київ-Пасажирський","Михайленки",6237
"Київ-Пасажирський","Старокостянтинів 2",6225
"Київ-Пасажирський","Острог",6213
"Київ-Пасажирський","Миропіль",6167
"Київ-Пасажирський","Сватове",6078
"Київ-Пасажирський","Білопілля",5994
"Київ-Пасажирський","Бар",5805
"Київ-Пасажирський","Волочиськ",5691
"Київ-Пасажирський","Красилів",5506
"Київ-Пасажирський","Славутич",5438
"Київ-Пасажирський","Яблунець",5278
"Київ-Пасажирський","Рахни",5271
"Київ-Пасажирський","Рахів",5204
"Київ-Пасажирський","Ярошенка",5193
"Київ-Пасажирський","Разіне",5135
"Київ-Пасажирський","Кодима",5113
"Київ-Пасажирський","Івотка",4994
