"city.x","city.y","kpas"
"Київ","Харків",1118622
"Київ","Львів",1100558
"Київ","Вінниця",994569
"Київ","Дніпропетровськ",875998
"Київ","Одеса",680724
"Київ","Івано-Франківськ",644994
"Київ","Запоріжжя",588234
"Київ","Конотоп",538134
"Київ","Сімферополь",487733
"Київ","Херсон",473224
"Київ","Ніжин",456453
"Київ","Донецьк",373990
"Київ","Хмельницкий",358785
"Київ","Миколаїв",341652
"Київ","Бахмач",340215
"Харків","Сімферополь",333925
"Одеса","Львів",313206
"Київ","Кривий Ріг",310701
"Київ","Шостка",306182
"Київ","Мукачеве",285567
